Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0614732787260263,-0.163285290172582,0.139749667568583,0,0,0,0.525276609713374,0.00118889424009473,-4.66163349173542E-07,-3.87633750168312E-10,0.000883705188266734,6.86269880388193E-09,0.00205494454976402,0,0,0,0,0,0,package://xe_4/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xe_4/meshes/base_link.STL,,than_duoi-1;base_link-1;motor holder-2;encoder_motor-3;motor holder-4;encoder_motor-2;motor holder-1;encoder_motor-1;motor holder-3;encoder_motor-4;thanh_noi-4;gia_LIDAR-2;thanh_noi-1;LIDAR1-2/35mm spicaer-4;thanh_noi-2;LIDAR1-2/35mm spicaer-1;LIDAR1-2/plate bala-1;LIDAR1-2/35mm spicaer-3;thanh_noi-3;LIDAR1-2/35mm spicaer-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_right_link,1.38777878078145E-17,0.00800000000000001,1.38777878078145E-17,0,0,0,0.0537442846179065,2.10387038973688E-05,3.5056171441999E-38,-1.15379320514335E-37,3.92583949923622E-05,3.33529490322889E-21,2.10387038973688E-05,0,0,0,0,0,0,package://xe_4/meshes/front_right_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xe_4/meshes/front_right_link.STL,,Wheel-5,truc_right_front,Axis8,front_right_joint,continuous,0.18174,-0.086658,0.11603,0,0,1.5708,base_link,0,1,0,,,,,,,,,,,,
"back_right_link ",0,0.00799999999999998,1.38777878078145E-17,0,0,0,0.0537442846179064,2.10387038973688E-05,3.50561714419991E-38,-1.15379320514336E-37,3.92583949923622E-05,2.91266075558846E-21,2.10387038973688E-05,0,0,0,0,0,0,package://xe_4/meshes/back_right_link .STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xe_4/meshes/back_right_link .STL,,Wheel-6,truc_right_back,Axis7,back_right_joint,continuous,0.18174,-0.22166,0.11603,0,0,1.5708,base_link,0,1,0,,,,,,,,,,,,
front_left_link,2.77555756156289E-17,-0.008,0,0,0,0,0.0537442846179065,2.10387038973688E-05,3.5056171441999E-38,-1.15379320514335E-37,3.92583949923622E-05,3.05383291346418E-21,2.10387038973688E-05,0,0,0,0,0,0,package://xe_4/meshes/front_left_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xe_4/meshes/front_left_link.STL,,Wheel-8,truc_left_front,Axis5,front_left_joint,continuous,-0.058665,-0.086658,0.11603,0,0,1.5708,base_link,0,-1,0,,,,,,,,,,,,
back_left_link,-2.77555756156289E-17,-0.008,2.77555756156289E-17,0,0,0,0.0537442846179065,2.10387038973689E-05,-1.55749413174486E-22,-1.0900813371481E-22,3.92583949923622E-05,2.4689561138458E-21,2.10387038973689E-05,0,0,0,0,0,0,package://xe_4/meshes/back_left_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xe_4/meshes/back_left_link.STL,,Wheel-7,truc_left_back,Axis6,back_left_joint,continuous,-0.058665,-0.22166,0.11603,0,0,1.5708,base_link,0,-1,0,0,0,0,0,,,,,,,,
link1_link,0.0420436004686703,1.47276565942711E-09,-0.00126903695496102,0,0,0,0.0367975504819107,3.79192552675337E-06,1.3618516728618E-12,3.55472653343413E-07,3.44370026892355E-05,2.67902459355996E-13,3.52474565119633E-05,0,0,0,0,0,0,package://xe_4/meshes/link1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xe_4/meshes/link1_link.STL,,link_1-1,truc_link1,Axis10,link1_joint,revolute,0.060035,-0.10416,0.15203,-1.5708,-1.555,1.5708,base_link,0,0,1,0,0,0,0,,,,,,,,
link2_link,3.44931007367766E-09,-1.6680382700085E-09,0.125171170915148,0,0,0,0.0371241111703062,4.45845445622506E-05,-1.11743696058705E-11,-2.88407238070524E-12,5.03537247762182E-05,1.76957128561628E-12,6.72867103735116E-06,0,0,0,0,0,0,package://xe_4/meshes/link2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xe_4/meshes/link2_link.STL,,link2-1,truc_link2,Axis11,link2_joint,prismatic,0.04,0,-0.0015,1.5708,0,1.5708,link1_link,0,0,1,0,0,0,0.06,,,,,,,,
imu_link,0.000525532368486153,-0.00277473645934152,0.00149999999999945,0,0,0,0.0018,1.3635E-07,-5.61629582932362E-22,-2.40171327104817E-22,6.13500000000001E-08,-3.4609579333938E-24,1.95E-07,0,0,0,0,0,0,package://xe_4/meshes/imu_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xe_4/meshes/imu_link.STL,,imu-1,truc_base,,imu_joint,fixed,0.061535,-0.15415,0.13703,0,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
camera_link,0.00644106594710503,0.000553262223239606,-0.0012676232895959,0,0,0,0.00569321375067929,3.73318194488939E-07,-5.53630936551191E-09,-9.1261226922927E-09,2.79136234351471E-07,-9.11163915542091E-09,2.90580696548858E-07,0,0,0,0,0,0,package://xe_4/meshes/camera_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xe_4/meshes/camera_link.STL,,Pi-Camera-1/camera-breadboard-1;Pi-Camera-1/camera-1,truc_camera,Axis_camera_joint,camera_joint,prismatic,0.0587,-0.048158,0.14085,0,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
lidar_Link,0.0133918743875461,-0.000989517063655694,-0.028990920691192,0,0,0,0.0664008074578348,1.88360700674189E-05,1.15047696543767E-08,-4.26462847749789E-07,2.33873283955793E-05,1.94167984279753E-08,4.00221561461094E-05,0,0,0,0,0,0,package://xe_4/meshes/lidar_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xe_4/meshes/lidar_Link.STL,,LIDAR1-2/RP-lidar-A1.igs-1/devboard.igs-1;LIDAR1-2/RP-lidar-A1.igs-1/motor.igs-1;LIDAR1-2/RP-lidar-A1.igs-1/bottom-lid.igs-1;LIDAR1-2/RP-lidar-A1.igs-1/stand_15x2.igs-1;LIDAR1-2/RP-lidar-A1.igs-1/stand-8x2.igs-2;LIDAR1-2/RP-lidar-A1.igs-1/stand-8x2.igs-1;LIDAR1-2/RP-lidar-A1.igs-1/stand_15x2.igs-2;LIDAR1-2/RP-lidar-A1.igs-1/detector-mount.igs-1;LIDAR1-2/RP-lidar-A1.igs-1/base.igs-1;LIDAR1-2/RP-lidar-A1.igs-1/head.igs-1;LIDAR1-2/RP-lidar-A1.igs-1/wheel.igs-1;LIDAR1-2/RP-lidar-A1.igs-1/head-base.igs-1;LIDAR1-2/RP-lidar-A1.igs-1/rubber.igs-1;LIDAR1-2/RP-lidar-A1.igs-1/motor-board.igs-1,truc_lidar,,lidar_joint,fixed,0.062159,-0.22315,0.27253,0,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
